CODIGO,Unnamed: 1,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
10-01-0102-45,,10-018,SUCHITEPEQUEZ,MAZATENANGO,INSTITITO PRIVADO MIXTO PROFESIONAL VISION EDUCTIVA 2000,"2A. CALLE 2-65 ZONA 2, COLONIA MAYA BARRIO LA UNION",77911552,NATALI XIOMARA DIAZ BARRIOS DE FIGUEROA,LUIS ALBERTO LINARES CHAPETON,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,SUCHITEPɑUEZ
10-01-0106-46,,10-018,SUCHITEPEQUEZ,MAZATENANGO,COLEGIO LATINOAMERICANO GOSPEL,"12 CALLE 4-45, ZONA 1",47191161,NATALI XIOMARA DIAZ BARRIOS DE FIGUEROA,CLAUDIA ROSEMARY FIGUEROA XICAY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0110-45,,10-018,SUCHITEPEQUEZ,MAZATENANGO,COLEGIO CENTRO DE ESTUDIOS INTEGRALES CEI,1A. CALLE BARRIO LA ESPERANZA ZONA 2,55127329,NATALI XIOMARA DIAZ BARRIOS DE FIGUEROA,DASIA YOSELINE CASTILLO LAM,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,SUCHITEPɑUEZ
10-01-0113-42,,10-002,SUCHITEPEQUEZ,MAZATENANGO,EODP CANTӎ MONTE CRISTO,CANTON MONTE CRISTO,41070500,MIGUEL ANGEL VALLEJO FIGUEROA,DANIEL JOASIM VALENCIA TEBALN,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0114-42,,10-002,SUCHITEPEQUEZ,MAZATENANGO,EODP CANTON SALACHɼ/td>,CANTON SALACHE,55916770,MIGUEL ANGEL VALLEJO FIGUEROA,THELMA PATRICIA PEс BARRIOS,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0115-42,,10-002,SUCHITEPEQUEZ,MAZATENANGO,EODP CANTӎ TABASCO,CANTON TABASCO,36701656,MIGUEL ANGEL VALLEJO FIGUEROA,GABRIELA ALEJANDRA ROSAL RAYMUNDO,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0116-42,,10-002,SUCHITEPEQUEZ,MAZATENANGO,EODP,COMUNIDAD AGRARIA MONTE CARLO,,MIGUEL ANGEL VALLEJO FIGUEROA,ELDER MANUEL REVOLORIO ZUщGA,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0117-42,,10-002,SUCHITEPEQUEZ,MAZATENANGO,EODP,ECA AGRARIA EL PARAISO,54347385,MIGUEL ANGEL VALLEJO FIGUEROA,ZOILA SANTIZ PɒEZ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0118-42,,10-002,SUCHITEPEQUEZ,MAZATENANGO,EODP GRANJAS EL COMPROMISO,GRANJAS EL COMPROMISO,58596268,MIGUEL ANGEL VALLEJO FIGUEROA,MAŔ CIRILA MOLLINEDO CONTRERAS,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0119-42,,10-002,SUCHITEPEQUEZ,MAZATENANGO,EODP CANTӎ LA CUCHILLA,CANTON LA CUCHILLA,31319733,MIGUEL ANGEL VALLEJO FIGUEROA,ELVIA YESSENIA BOLAяS DE LEON,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0120-42,,10-002,SUCHITEPEQUEZ,MAZATENANGO,EODP ALDEA LA MONTAщTA,ALDEA LA MONTAщTA,,MIGUEL ANGEL VALLEJO FIGUEROA,EDGAR RENɠMART͎EZ RUIZ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0121-42,,10-002,SUCHITEPEQUEZ,MAZATENANGO,EODP,COMUNIDAD ECA LA VEGA,45796042,MIGUEL ANGEL VALLEJO FIGUEROA,VIDALIA ARACELY GUOX DE LA CRUZ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0122-42,,10-002,SUCHITEPEQUEZ,MAZATENANGO,EODP ALDEA SAN JOSɠCHURIR͎,ALDEA SAN JOSE CHURIRIN,47735714,MIGUEL ANGEL VALLEJO FIGUEROA,MARTA LILIAN GӍEZ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0123-42,,10-002,SUCHITEPEQUEZ,MAZATENANGO,EODP,COMUNIDAD NUEVO BRACITOS,55586164,MIGUEL ANGEL VALLEJO FIGUEROA,VELVET ADRIANA BOTEO CHEX,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0124-42,,10-002,SUCHITEPEQUEZ,MAZATENANGO,EODP CANTӎ CHITA,CANTON CHITA,35668829,MIGUEL ANGEL VALLEJO FIGUEROA,SILVIA ROXANA MALDONADO SANTIZO,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0125-43,,10-002,SUCHITEPEQUEZ,MAZATENANGO,EORM COMUNIDAD AGRARIA MONTE CARLO,COMUNIDAD AGRARIA MONTE CARLO,37155977,MIGUEL ANGEL VALLEJO FIGUEROA,ELDER MANUEL REVOLORIO ZUщGA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0126-43,,10-002,SUCHITEPEQUEZ,MAZATENANGO,EORM COMUNIDAD SALINAS EL TIGRE,COMUNIDAD SALINAS EL TIGRE,36236895,MIGUEL ANGEL VALLEJO FIGUEROA,WALTER AGUILAR AJPACAJA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0127-43,,10-002,SUCHITEPEQUEZ,MAZATENANGO,EORM,"6A. AVENIDA 7-25 ZONA 3,COLONIA EL COMPROMISO",58596268,MIGUEL ANGEL VALLEJO FIGUEROA,MAŔ CIRILA MOLLINEDO CONTRERAS,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0128-43,,10-002,SUCHITEPEQUEZ,MAZATENANGO,EORM CANTӎ LA CUCHILLA,CANTON LA CUCHILLA,31319733,MIGUEL ANGEL VALLEJO FIGUEROA,ELVIA YESSENIA BOLAяS DE LEON,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0129-43,,10-002,SUCHITEPEQUEZ,MAZATENANGO,EORM ALDEA LA MONTAщTA,ALDEA LA MONTAщTA,,MIGUEL ANGEL VALLEJO FIGUEROA,EDGAR RENɠMART͎EZ RUIZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0130-43,,10-002,SUCHITEPEQUEZ,MAZATENANGO,EORM,CANTON CHITA,35668829,MIGUEL ANGEL VALLEJO FIGUEROA,SILVIA ROXANA MALDONADO SANTIZO,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0131-43,,10-002,SUCHITEPEQUEZ,MAZATENANGO,EORM CANTON SALACHɼ/td>,CANTON SALACHE,55916770,MIGUEL ANGEL VALLEJO FIGUEROA,THELMA PATRICIA PEс BARRIOS,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0132-43,,10-002,SUCHITEPEQUEZ,MAZATENANGO,EORM,CANTON MONTE CRISTO,41070500,MIGUEL ANGEL VALLEJO FIGUEROA,DANIEL JOASIM VALENCIA TEBALN,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0133-43,,10-002,SUCHITEPEQUEZ,MAZATENANGO,EORM,ECA AGRARIA EL PARAISO,54347385,MIGUEL ANGEL VALLEJO FIGUEROA,ZOILA SANTIZ PɒEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
10-01-0134-43,,10-002,SUCHITEPEQUEZ,MAZATENANGO,EORM CANTӎ TABASCO,CANTON TABASCO,36701656,MIGUEL ANGEL VALLEJO FIGUEROA,GABRIELA ALEJANDRA ROSAL RAYMUNDO,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPɑUEZ
